Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Al-Kharj, Saudi Arabia",2/13/2000,77.1,55.5,65.8,,,0,,,18.3,161.67,,6.8,8.3,22.81,Clear
"Al-Kharj, Saudi Arabia",2/14/2000,75.3,57.3,64.5,,,0,,,18.3,186.19,,6.3,15.5,34.42,Clear
"Al-Kharj, Saudi Arabia",2/15/2000,71.7,50.1,61.7,,,0,,,11.4,77.39,,6.3,9.1,38.99,Clear
"Al-Kharj, Saudi Arabia",2/16/2000,80.7,53.7,67.8,,80.1,0,,,20.8,166.36,,6.3,5.5,43.52,Clear
"Al-Kharj, Saudi Arabia",2/17/2000,80.7,59.1,67.7,,79.2,0,,,11.4,91.5,,6.5,0,37.63,Clear
"Al-Kharj, Saudi Arabia",2/18/2000,78.9,53.7,66.4,,,0,,,12.8,50.59,,6.1,0,30.52,Clear
"Al-Kharj, Saudi Arabia",2/19/2000,80.7,53.7,65.6,,79.3,0,,,6.9,153.18,,6.8,0,33.3,Clear
"Al-Kharj, Saudi Arabia",2/20/2000,80.7,55.5,66.5,,79.2,0,,,11.4,109.09,,6.6,12.2,30.7,Clear
"Al-Kharj, Saudi Arabia",2/21/2000,77.1,53.7,61.2,,,0,,,11.4,84.71,,6.3,16,35.15,Clear
"Al-Kharj, Saudi Arabia",2/22/2000,77.1,50.1,64,,,0,,,16.1,139.13,,6.6,17.1,28.79,Clear
"Al-Kharj, Saudi Arabia",2/23/2000,84.3,57.3,70.7,,81.5,0,,,17.2,168.33,,6.8,36.7,22.14,Partially cloudy
"Al-Kharj, Saudi Arabia",2/24/2000,87.9,62.7,74.4,,85.8,0,,,20.8,139.52,,6.3,47.4,31.08,Partially cloudy
"Al-Kharj, Saudi Arabia",2/25/2000,91.5,68.1,77.7,,89.2,0,,,19.5,202.92,,6.1,0,33.44,Clear
"Al-Kharj, Saudi Arabia",2/26/2000,80.7,57.3,69.5,,79.6,0,,,16.1,78.64,,6.6,0,32.31,Clear
"Al-Kharj, Saudi Arabia",2/27/2000,82.5,55.5,69,,80.6,0,,,11.4,133.13,,6.3,2.5,36.42,Clear
"Al-Kharj, Saudi Arabia",2/28/2000,75.3,55.5,64.3,,,0,,,19.5,68.75,,5.9,8.3,32.87,Clear
