Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Sana'a, Yemen",2/24/2000,79.8,53.7,69.8,,,0,,,16.1,290,,6.4,31.8,35.72,Partially cloudy
"Sana'a, Yemen",2/25/2000,78.9,51.9,69.6,,,0,,,11.4,107.5,,6.4,30,31.87,Partially cloudy
"Sana'a, Yemen",2/26/2000,79.4,55.5,69.4,,,0,,,13.9,147.5,,6.2,27.5,40.24,Partially cloudy
"Sana'a, Yemen",2/27/2000,82.1,50.1,69,,80,0,,,9.2,257.5,,6.4,12.4,38.79,Clear
"Sana'a, Yemen",2/28/2000,80.7,53.7,69.8,,79.1,0,,,13.9,127.78,,6.8,11.3,34.2,Clear
"Sana'a, Yemen",2/29/2000,77.1,53.7,67.8,,,0,,,13.9,112,,6.4,12.5,21.95,Clear
"Sana'a, Yemen",3/1/2000,78.9,44.7,65.1,,,0,,,11.4,30,,6.4,14.7,26.56,Clear
"Sana'a, Yemen",3/2/2000,78.9,42.9,65.1,,,0,,,16.1,105.56,,6.3,7.7,26.05,Clear
"Sana'a, Yemen",3/3/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",3/4/2000,80.7,62.7,72.1,,79.1,0,,,13.9,90,,2.5,21.4,27.58,Clear
"Sana'a, Yemen",3/5/2000,81.8,51.9,69.6,,80.1,0,,,11.4,350,,5.3,12.5,40.28,Clear
"Sana'a, Yemen",3/6/2000,82.5,50.6,68.6,,80.4,0,,,13.9,255.56,,3.9,11.3,31.72,Clear
"Sana'a, Yemen",3/7/2000,81.8,50.1,72.4,,79.6,0,,,18.3,178,,4.7,24.6,26.02,Clear
"Sana'a, Yemen",3/8/2000,81.2,59.1,74,,79.3,0,,,13.9,254.29,,5,73.7,33.55,Partially cloudy
"Sana'a, Yemen",3/9/2000,82.5,60.9,74.9,,80.2,0,,,16.1,214,,5.4,19,30.94,Clear
"Sana'a, Yemen",3/10/2000,80.7,50.1,66.9,,78.8,0,,,13.9,215,,5.3,0,28.57,Clear
